year,sex,count,crude,asr
2006,male,3898,45.0,83.6
2006,female,4156,48.3,82.7
2007,male,4351,49.4,80.0
2007,female,4773,55.1,84.2
2008,male,4231,46.4,74.1
2008,female,4617,51.5,79.4
2009,male,4618,50.1,80.9
2009,female,5205,58.6,90.1
2010,male,4593,48.2,76.7
2010,female,5378,58.6,91.2
2018,male,6848,64.8,85.5
2018,female,8840,86.8,107.3
2019,male,7005,65.2,86.3
2019,female,9134,88.2,109.5
2020,male,6209,56.8,74.7
2020,female,7841,74.4,92.1
2021,male,7248,78.6,123.5
2021,female,10693,116.9,168.6
2022,male,8748,92.8,144.9
2022,female,10485,112.1,159.1
2023,male,8569,88.9,135.1
2023,female,11927,124.3,172.0
