year,C00,C01-C02,C03-C06,C07-C08,C09,C10,C11,C12-C13,C14,C15,Stomach,C17,Colon,Rectum,C21,Liver,C23-C24,C25,C30-C31,C32,Lung,C37-C38,C40-C41,C43,C44,C45,C46,C47;,C47;C49,C49,Breast,C51,C52,C53,Corpus uteri,C55,C56,C57,C58,C60,Prostate,C62,C63,Kidney,C65,C66,Bladder,C68,C69,Brain/CNS,Thyroid,C74,C75,Hodgkin,C82-C85,C82-C85;,NHL,C88,C90,Leukaemia,C92-C94,C95,C96
2006,0.1,0.6,0.8,0.2,0.0,0.0,0.8,0.2,0.0,1.6,2.7,0.3,5.3,3.3,0.2,3.1,1.7,1.8,0.2,0.2,2.0,0.2,0.4,0.3,3.0,0.1,0.3,,0.5,,18.0,,,,,,,,,,,,,1.5,0.1,0.0,1.0,0.0,0.3,1.6,6.5,0.1,0.1,1.6,,,4.8,0.0,0.6,1.2,2.0,0.2,
2007,0.1,0.8,1.0,0.3,0.1,0.0,0.9,0.2,0.0,1.2,2.5,0.3,4.8,3.3,0.2,2.6,1.9,1.1,0.2,0.2,1.9,0.1,0.3,0.4,2.5,0.0,0.1,0.7,,0.7,21.6,,,,,,,,,,,,,1.4,0.0,0.0,0.8,0.0,0.3,1.7,6.6,0.1,0.1,1.5,,5.1,,0.0,0.9,1.4,1.5,0.3,5.1
2008,0.1,0.6,0.9,0.2,0.1,0.0,0.7,0.3,0.0,1.1,1.9,0.3,5.2,3.0,0.1,2.3,1.6,1.4,0.1,0.1,1.7,0.1,0.5,0.2,2.4,0.0,0.1,,0.8,,19.2,,,,,,,,,,,,,1.5,0.0,0.0,0.8,0.0,0.2,1.3,6.8,0.1,0.0,1.5,,,5.4,0.0,0.5,1.4,1.4,0.4,
2009,0.2,0.7,0.7,0.3,0.0,0.0,0.7,0.2,0.1,0.9,2.1,0.5,5.7,3.7,0.3,2.7,1.8,1.7,0.1,0.4,,0.1,0.5,0.1,2.7,0.2,,,0.8,,22.7,,,,,,,,,,,,,1.9,0.1,0.0,0.7,0.0,0.3,1.5,7.6,0.1,0.0,1.7,,,5.1,0.0,0.8,1.5,1.8,0.4,
2010,0.1,0.8,0.8,0.2,0.0,0.0,0.6,0.3,0.0,1.0,2.3,0.2,5.8,3.4,0.2,3.1,1.8,1.6,0.1,0.1,2.1,0.2,0.5,0.2,2.8,0.1,0.1,,1.1,,24.9,,,,,,,,,,,,,2.0,0.1,0.1,1.0,0.0,0.3,1.4,7.5,0.2,0.0,1.6,,,5.2,0.0,0.9,1.4,1.8,0.2,
2011,0.1,0.9,0.8,0.3,0.0,0.0,0.6,0.3,0.0,1.0,2.3,0.6,5.7,3.3,0.3,2.9,1.6,1.4,0.0,0.1,1.9,0.1,0.6,0.2,88.0,0.0,0.1,,0.9,,23.4,0.1,0.1,1.7,5.8,0.7,3.1,0.2,0.1,,,,,1.7,0.0,0.0,1.0,0.0,0.2,1.2,8.1,0.0,0.1,1.7,,,4.8,0.0,0.8,1.6,2.2,0.2,
2012,0.1,0.8,0.5,0.4,0.0,0.0,0.6,0.3,0.0,1.0,1.5,0.4,5.3,3.7,0.2,2.3,1.6,1.5,0.2,0.2,2.2,0.1,0.7,0.3,84.6,0.0,0.0,,0.7,,22.1,0.1,0.1,2.1,5.4,0.8,3.0,0.2,0.0,,,,,1.8,0.0,0.0,0.9,0.0,0.2,1.5,8.3,0.2,0.0,1.6,,,4.7,0.0,0.9,1.4,2.1,0.3,
2015,,,,,,,,0.1,0.0,,,,,,,1.5,,,,0.2,,0.1,,,,0.1,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.7,,,,0.0,,,,,
2016,0.1,0.7,0.8,0.4,0.0,0.0,0.7,0.2,0.0,0.7,1.5,0.4,6.1,3.4,0.2,1.9,1.7,1.5,0.1,0.1,2.0,0.1,0.5,0.3,89.0,0.1,0.1,,0.8,,27.0,,,,,,,,,,,,,8.0,0.0,0.0,8.0,0.0,0.2,1.8,8.9,0.2,0.1,2.3,4.9,,,0.0,0.6,1.2,1.7,0.1,
2018,0.1,0.6,0.7,0.2,0.0,0.0,0.7,0.2,0.1,0.7,1.9,0.3,7.3,4.0,0.2,2.1,2.0,2.0,0.1,0.1,2.0,0.2,0.8,0.2,105.5,0.1,0.1,,0.9,,33.7,,,,,,,,,,,,,2.0,0.1,0.0,1.0,0.0,0.2,2.0,10.6,0.3,0.0,2.0,,,4.5,0.0,1.0,1.5,1.8,0.4,
