year,C00,C01-C02,C03-C06,C07-C08,C09,C10,C11,C12-C13,C14,C15,Stomach,C17,Colon,Rectum,C21,Liver,C23-C24,C25,C30-C31,C32,Lung,C37-C38,C40-C41,C43,C44,C45,C46,C47;,C47;C49,C49,Breast,C51,C52,C53,Corpus uteri,C55,C56,C57,C58,C60,Prostate,C62,C63,Kidney,C65,C66,Bladder,C68,C69,Brain/CNS,Thyroid,C74,C75,Hodgkin,C82-C85,C82-C85;,NHL,C88,C90,Leukaemia,C92-C94,C95,C96
2006,0.1,0.8,0.8,0.2,0.0,0.0,1.7,0.2,0.1,1.4,3.9,0.4,5.3,4.4,0.2,7.5,1.2,2.4,0.2,1.6,6.1,0.2,0.7,0.2,4.6,0.2,0.5,,0.9,,0.4,,,,,,,,,,,,,2.4,0.1,0.0,4.1,0.0,0.3,2.5,2.1,0.2,0.1,2.1,,,6.6,0.0,1.2,2.3,1.8,0.4,
2007,0.2,0.8,0.8,0.4,0.1,0.0,1.5,0.3,0.0,1.5,3.6,0.5,5.5,4.1,0.2,6.8,1.1,2.7,0.2,1.2,6.9,0.4,0.7,0.3,3.1,0.3,0.3,1.1,,1.1,0.4,,,,,,,,,,,,,2.7,0.1,0.0,3.5,0.0,0.3,1.9,1.8,0.2,0.0,2.2,,7.0,,0.0,0.9,2.4,1.6,0.4,7.0
2008,0.2,0.6,0.7,0.3,0.0,0.0,2.0,0.1,0.1,1.0,3.2,0.6,5.3,3.7,0.2,6.2,1.0,2.0,0.2,1.2,5.8,0.2,0.8,0.2,3.0,0.3,0.3,,0.9,,0.3,,,,,,,,,,,,,2.5,0.1,0.1,3.6,0.0,0.3,2.1,2.0,0.1,0.1,1.9,,,6.0,0.0,0.7,2.0,1.9,0.6,
2009,0.1,0.8,0.8,0.3,0.0,0.0,1.5,0.1,0.0,1.3,3.9,0.6,6.5,5.1,0.4,5.9,1.1,2.3,0.1,1.1,,0.3,0.6,0.2,3.5,0.1,,,0.9,,0.4,,,,,,,,,,,,,3.0,0.1,0.0,3.9,0.0,0.4,2.0,2.1,0.2,0.1,2.3,,,6.8,0.0,1.1,2.3,2.0,0.3,
2010,0.1,1.0,0.9,0.2,0.0,0.0,2.0,0.2,0.0,1.4,3.1,0.5,5.5,4.4,0.3,6.4,0.9,2.2,0.2,0.9,5.8,0.3,0.7,0.2,3.1,0.2,0.4,,0.8,,0.4,,,,,,,,,,,,,2.9,0.1,0.0,3.6,0.1,0.3,1.9,2.3,0.3,0.0,2.1,,,6.2,0.0,1.2,2.1,2.0,0.2,
2011,0.1,0.7,0.7,0.2,0.1,0.0,1.8,0.2,0.0,1.3,2.8,0.6,6.6,4.7,0.2,6.1,1.3,2.3,0.1,1.3,6.4,0.3,0.8,0.3,75.2,0.2,0.3,,0.9,,0.3,,,,,,,,,0.0,6.0,0.8,0.1,2.9,0.0,0.1,3.3,0.0,0.2,2.2,2.2,0.1,0.1,1.9,,,6.4,0.0,0.9,2.3,2.0,0.2,
2012,0.1,0.6,0.6,0.1,0.0,0.1,1.6,0.1,0.0,1.4,3.2,0.6,6.5,4.6,0.4,6.3,1.2,2.6,0.3,1.1,5.9,0.2,0.9,0.1,75.3,0.2,0.4,1.0,,1.0,0.4,,,,,,,,,0.1,5.3,0.8,0.0,2.8,0.1,0.0,3.2,0.0,0.3,2.2,2.7,0.2,0.1,2.0,,6.2,,0.0,1.2,2.6,2.1,0.3,6.2
2015,,,,,,,,0.1,0.0,,,,,,,4.0,,,,1.2,,0.2,,,,0.1,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.6,,,,0.0,,,,,
2016,0.2,0.8,0.8,0.3,0.0,0.1,1.8,0.1,0.0,1.1,2.9,0.5,7.8,5.1,0.3,4.2,1.2,2.5,0.2,0.9,4.4,0.2,0.9,0.2,72.0,0.2,0.4,,1.0,,0.6,,,,,,,,,,,,,1.635,0.08,0.03,1.725,0.1,0.3,2.3,2.5,0.2,0.1,2.6,5.6,,,0.0,1.0,1.8,1.5,0.3,
2018,0.1,0.9,0.9,0.3,0.0,0.1,1.7,0.1,0.1,1.0,2.3,0.7,8.5,5.4,0.3,4.8,1.3,2.9,0.2,1.0,5.0,0.2,0.9,0.3,82.6,0.1,0.3,,1.1,,0.6,,,,,,,,,,,,,3.5,0.1,0.0,5.3,0.0,0.3,2.9,2.9,0.2,0.1,3.1,,,6.3,0.0,1.2,2.4,2.0,0.5,
2019,0.1,0.8,1.1,0.2,0.1,0.0,1.5,0.1,0.0,0.9,2.0,0.6,9.0,5.3,0.3,4.8,1.2,3.2,0.3,1.1,6.0,0.2,1.0,0.2,83.9,0.2,0.4,,1.1,,0.7,,,,,,,,,,,,,3.6,0.0,0.1,4.8,0.1,0.3,3.3,3.3,0.2,0.1,2.8,,,6.1,0.0,1.5,2.1,1.8,1.1,
2020,0.2,0.8,0.9,0.2,0.0,0.1,1.5,0.1,0.0,1.0,2.1,0.6,7.6,4.8,0.4,4.0,1.0,3.0,0.4,1.0,4.8,0.4,1.2,0.2,73.1,0.1,0.3,,1.0,,0.5,,,,,,,,,,,,,2.8,0.1,0.1,3.9,0.2,0.2,3.0,2.4,0.1,0.0,3.3,,,4.6,0.0,1.2,1.7,2.3,1.3,
2021,0.2,1.0,0.8,0.3,0.1,0.1,2.5,0.1,0.1,1.3,3.7,1.0,14.2,7.8,0.6,7.7,1.4,5.4,0.4,1.8,7.5,0.5,1.2,0.2,120.6,0.1,0.6,,1.9,,1.2,,,,,,,,,,,,,5.2,0.3,0.1,6.0,0.1,0.5,4.1,4.7,0.2,0.2,3.8,,,8.0,0.0,1.8,1.6,2.7,2.3,
2022,0.2,1.4,1.2,0.5,0.1,0.1,3.0,0.2,0.0,1.9,4.1,1.1,16.1,10.1,0.4,8.5,2.0,5.5,0.3,2.1,8.8,0.5,1.3,0.3,140.5,0.1,0.6,,1.9,,0.9,,,,,,,,,,,,,,,0.1,8.9,,,4.9,5.4,0.3,0.2,4.0,,,9.5,0.0,2.3,2.3,3.2,1.3,
2023,0.0,1.6,1.2,0.4,0.1,0.1,2.2,0.0,0.1,1.3,4.2,0.8,15.6,8.5,0.3,7.2,2.0,5.2,0.3,1.7,8.5,0.6,1.6,0.3,131.5,0.1,0.3,,1.9,,1.3,,,,,,,,,,,,,6.2,0.1,0.1,9.6,0.1,0.2,4.5,6.0,0.2,0.1,4.2,,,8.0,0.1,1.7,1.6,2.5,2.6,
