year,population,sex,icd_code,site,count,crude,asr,burden_share,crude_asr_ratio
2006,Saudi,male,C00,C00 Lip,6.0,0.1,0.1,0.0018,1.000
2006,Saudi,male,C01-C02,C01-C02 Tongue,37.0,0.4,0.8,0.0114,0.500
2006,Saudi,male,C03-C06,C03-C06 Mouth,30.0,0.3,0.8,0.0092,0.375
2006,Saudi,male,C07-C08,C07-C08 Salivary glands,14.0,0.2,0.2,0.0043,1.000
2006,Saudi,male,C09,C09 Tonsil,0.0,0.0,0.0,,
2006,Saudi,male,C10,C10 Other Oropharynx,0.0,0.0,0.0,,
2006,Saudi,male,C11,C11 Nasopharynx,95.0,1.1,1.7,0.0292,0.647
2006,Saudi,male,C12-C13,C12-C13 Hypopharynx,9.0,0.1,0.2,0.0028,0.500
2006,Saudi,male,C14,C14 Pharynx unspecified,3.0,0.0,0.1,0.0009,
2006,Saudi,male,C15,C15 Oesophagus,55.0,0.6,1.4,0.0169,0.429
2006,Saudi,male,C16,C16 Stomach,162.0,1.9,3.9,0.0499,0.487
2006,Saudi,male,C17,C17 Small intestine,18.0,0.2,0.4,0.0055,0.500
2006,Saudi,male,C18,C18 Colon,232.0,2.7,5.3,0.0714,0.509
2006,Saudi,male,C19-C20,C19-C20 Rectum,182.0,2.1,4.4,0.0560,0.477
2006,Saudi,male,C21,C21 Anus,8.0,0.1,0.2,0.0025,0.500
2006,Saudi,male,C22,C22 Liver,291.0,3.4,7.5,0.0896,0.453
2006,Saudi,male,C23-C24,C23-C24 Gallbladder etc.,46.0,0.5,1.2,0.0142,0.417
2006,Saudi,male,C25,C25 Pancreas,93.0,1.1,2.4,0.0286,0.458
2006,Saudi,male,C30-C31,"C30-C31 Nose, sinuses etc.",10.0,0.1,0.2,0.0031,0.500
2006,Saudi,male,C32,C32 Larynx,62.0,0.7,1.6,0.0191,0.437
2006,Saudi,male,C33-C34,"C33-C34 Trachea, Bronchus, Lung",232.0,2.7,6.1,0.0714,0.443
2006,Saudi,male,C37-C38,C37-C38 Other Thoracic organs,14.0,0.2,0.2,0.0043,1.000
2006,Saudi,male,C40-C41,C40-C41 Bone,64.0,0.7,0.7,0.0197,1.000
2006,Saudi,male,C43,C43 Melanoma of Skin,11.0,0.1,0.2,0.0034,0.500
2006,Saudi,male,C45,C45 Mesothelioma,8.0,0.1,0.2,0.0025,0.500
2006,Saudi,male,C46,C46 Kaposi sarcoma,22.0,0.3,0.5,0.0068,0.600
2006,Saudi,male,C47;C49,"C47;C49 Connective, Soft tissue",57.0,0.7,0.9,0.0175,0.778
2006,Saudi,male,C50,C50 Breast,18.0,0.2,0.4,0.0055,0.500
2006,Saudi,male,C64,C64 Kidney,111.0,1.3,2.4,0.0342,0.542
2006,Saudi,male,C65,C65 Renal Pelvis,5.0,0.1,0.1,0.0015,1.000
2006,Saudi,male,C66,C66 Ureter,1.0,0.0,0.0,0.0003,
2006,Saudi,male,C67,C67 Bladder,169.0,2.0,4.1,0.0520,0.488
2006,Saudi,male,C68,C68 Other Urinary organs,0.0,0.0,0.0,,
2006,Saudi,male,C69,C69 Eye,26.0,0.3,0.3,0.0080,1.000
2006,Saudi,male,C70-C72,"C70-C72 Brain, Nervous system",149.0,1.7,2.5,0.0459,0.680
2006,Saudi,male,C73,C73 Thyroid,117.0,1.4,2.1,0.0360,0.667
2006,Saudi,male,C74,C74 Adrenal gland,19.0,0.2,0.2,0.0058,1.000
2006,Saudi,male,C75,C75 Other Endocrine,5.0,0.1,0.1,0.0015,1.000
2006,Saudi,male,C81,C81 Hodgkin disease,173.0,2.0,2.1,0.0532,0.952
2006,Saudi,male,C82-C85;C96,C82-C85;C96 Non-Hodgkin lymphoma,351.0,4.1,6.6,0.1080,0.621
2006,Saudi,male,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2006,Saudi,male,C90,C90 Multiple Myeloma,48.0,0.6,1.2,0.0148,0.500
2006,Saudi,male,C91,C91 Lymphoid Leukemia,155.0,1.8,2.3,0.0477,0.783
2006,Saudi,male,C92-C94,C92-C94 Myeloid Leukemia,115.0,1.3,1.8,0.0354,0.722
2006,Saudi,male,C95,C95 Leukemia unspecified,26.0,0.3,0.4,0.0080,0.750
2006,Saudi,female,C00,C00 Lip,4.0,0.0,0.1,0.0012,
2006,Saudi,female,C01-C02,C01-C02 Tongue,26.0,0.3,0.6,0.0075,0.500
2006,Saudi,female,C03-C06,C03-C06 Mouth,34.0,0.4,0.8,0.0099,0.500
2006,Saudi,female,C07-C08,C07-C08 Salivary glands,12.0,0.1,0.2,0.0035,0.500
2006,Saudi,female,C09,C09 Tonsil,2.0,0.0,0.0,0.0006,
2006,Saudi,female,C10,C10 Other Oropharynx,0.0,0.0,0.0,,
2006,Saudi,female,C11,C11 Nasopharynx,43.0,0.5,0.8,0.0125,0.625
2006,Saudi,female,C12-C13,C12-C13 Hypopharynx,11.0,0.1,0.2,0.0032,0.500
2006,Saudi,female,C14,C14 Pharynx unspecified,1.0,0.0,0.0,0.0003,
2006,Saudi,female,C15,C15 Oesophagus,64.0,0.7,1.6,0.0186,0.437
2006,Saudi,female,C16,C16 Stomach,113.0,1.3,2.7,0.0328,0.481
2006,Saudi,female,C17,C17 Small intestine,14.0,0.2,0.3,0.0041,0.667
2006,Saudi,female,C18,C18 Colon,227.0,2.6,5.3,0.0659,0.491
2006,Saudi,female,C19-C20,C19-C20 Rectum,143.0,1.7,3.3,0.0415,0.515
2006,Saudi,female,C21,C21 Anus,9.0,0.1,0.2,0.0026,0.500
2006,Saudi,female,C22,C22 Liver,125.0,1.5,3.1,0.0363,0.484
2006,Saudi,female,C23-C24,C23-C24 Gallbladder etc.,70.0,0.8,1.7,0.0203,0.471
2006,Saudi,female,C25,C25 Pancreas,73.0,0.8,1.8,0.0212,0.444
2006,Saudi,female,C30-C31,"C30-C31 Nose, sinuses etc.",10.0,0.1,0.2,0.0029,0.500
2006,Saudi,female,C32,C32 Larynx,9.0,0.1,0.2,0.0026,0.500
2006,Saudi,female,C33-C34,"C33-C34 Trachea, Bronchus, Lung",80.0,0.9,2.0,0.0232,0.450
2006,Saudi,female,C37-C38,C37-C38 Other Thoracic organs,10.0,0.1,0.2,0.0029,0.500
2006,Saudi,female,C40-C41,C40-C41 Bone,36.0,0.4,0.4,0.0105,1.000
2006,Saudi,female,C43,C43 Melanoma of Skin,12.0,0.1,0.3,0.0035,0.333
2006,Saudi,female,C45,C45 Mesothelioma,5.0,0.1,0.1,0.0015,1.000
2006,Saudi,female,C46,C46 Kaposi sarcoma,14.0,0.2,0.3,0.0041,0.667
2006,Saudi,female,C47;C49,"C47;C49 Connective, Soft tissue",37.0,0.4,0.5,0.0107,0.800
2006,Saudi,female,C50,C50 Breast,981.0,11.4,18.0,0.2848,0.633
2006,Saudi,female,C64,C64 Kidney,78.0,0.9,1.5,0.0226,0.600
2006,Saudi,female,C65,C65 Renal Pelvis,4.0,0.0,0.1,0.0012,
2006,Saudi,female,C66,C66 Ureter,2.0,0.0,0.0,0.0006,
2006,Saudi,female,C67,C67 Bladder,42.0,0.5,1.0,0.0122,0.500
2006,Saudi,female,C68,C68 Other Urinary organs,0.0,0.0,0.0,,
2006,Saudi,female,C69,C69 Eye,19.0,0.2,0.3,0.0055,0.667
2006,Saudi,female,C70-C72,"C70-C72 Brain, Nervous system",103.0,1.2,1.6,0.0299,0.750
2006,Saudi,female,C73,C73 Thyroid,424.0,4.9,6.5,0.1231,0.754
2006,Saudi,female,C74,C74 Adrenal gland,10.0,0.1,0.1,0.0029,1.000
2006,Saudi,female,C75,C75 Other Endocrine,5.0,0.1,0.1,0.0015,1.000
2006,Saudi,female,C81,C81 Hodgkin disease,120.0,1.4,1.6,0.0348,0.875
2006,Saudi,female,C82-C85;C96,C82-C85;C96 Non-Hodgkin lymphoma,234.0,2.7,4.8,0.0679,0.563
2006,Saudi,female,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2006,Saudi,female,C90,C90 Multiple Myeloma,26.0,0.3,0.6,0.0075,0.500
2006,Saudi,female,C91,C91 Lymphoid Leukemia,90.0,1.0,1.2,0.0261,0.833
2006,Saudi,female,C92-C94,C92-C94 Myeloid Leukemia,113.0,1.3,2.0,0.0328,0.650
2006,Saudi,female,C95,C95 Leukemia unspecified,9.0,0.1,0.2,0.0026,0.500
2007,Saudi,male,C00,C00 Lip,12.0,0.1,0.2,0.0029,0.500
2007,Saudi,male,C01-C02,C01-C02 Tongue,39.0,0.4,0.8,0.0093,0.500
2007,Saudi,male,C03-C06,C03-C06 Mouth,37.0,0.4,0.8,0.0088,0.500
2007,Saudi,male,C07-C08,C07-C08 Salivary glands,19.0,0.2,0.4,0.0045,0.500
2007,Saudi,male,C09,C09 Tonsil,4.0,0.0,0.1,0.0010,
2007,Saudi,male,C10,C10 Other Oropharynx,2.0,0.0,0.0,0.0005,
2007,Saudi,male,C11,C11 Nasopharynx,94.0,1.1,1.5,0.0225,0.733
2007,Saudi,male,C12-C13,C12-C13 Hypopharynx,15.0,0.2,0.3,0.0036,0.667
2007,Saudi,male,C14,C14 Pharynx unspecified,2.0,0.0,0.0,0.0005,
2007,Saudi,male,C15,C15 Oesophagus,75.0,0.9,1.5,0.0179,0.600
2007,Saudi,male,C16,C16 Stomach,173.0,2.0,3.6,0.0413,0.556
2007,Saudi,male,C17,C17 Small intestine,27.0,0.3,0.5,0.0065,0.600
2007,Saudi,male,C18,C18 Colon,275.0,3.1,5.5,0.0657,0.564
2007,Saudi,male,C19-C20,C19-C20 Rectum,211.0,2.4,4.1,0.0504,0.585
2007,Saudi,male,C21,C21 Anus,12.0,0.1,0.2,0.0029,0.500
2007,Saudi,male,C22,C22 Liver,315.0,3.6,6.8,0.0753,0.529
2007,Saudi,male,C23-C24,C23-C24 Gallbladder etc.,52.0,0.6,1.1,0.0124,0.545
2007,Saudi,male,C25,C25 Pancreas,127.0,1.4,2.7,0.0303,0.519
2007,Saudi,male,C30-C31,"C30-C31 Nose, sinuses etc.",12.0,0.1,0.2,0.0029,0.500
2007,Saudi,male,C32,C32 Larynx,56.0,0.6,1.2,0.0134,0.500
2007,Saudi,male,C33-C34,"C33-C34 Trachea, Bronchus, Lung",323.0,3.7,6.9,0.0772,0.536
2007,Saudi,male,C37-C38,C37-C38 Other Thoracic organs,21.0,0.2,0.4,0.0050,0.500
2007,Saudi,male,C40-C41,C40-C41 Bone,64.0,0.7,0.7,0.0153,1.000
2007,Saudi,male,C43,C43 Melanoma of Skin,15.0,0.2,0.3,0.0036,0.667
2007,Saudi,male,C45,C45 Mesothelioma,13.0,0.1,0.3,0.0031,0.333
2007,Saudi,male,C46,C46 Kaposi sarcoma,17.0,0.2,0.3,0.0041,0.667
2007,Saudi,male,C47;,"C47; C49 Connective, Soft tissue",75.0,0.9,1.1,0.0179,0.818
2007,Saudi,male,C49,"C47; C49 Connective, Soft tissue",75.0,0.9,1.1,0.0179,0.818
2007,Saudi,male,C50,C50 Breast,20.0,0.2,0.4,0.0048,0.500
2007,Saudi,male,C64,C64 Kidney,143.0,1.6,2.7,0.0342,0.593
2007,Saudi,male,C65,C65 Renal Pelvis,4.0,0.0,0.1,0.0010,
2007,Saudi,male,C66,C66 Ureter,2.0,0.0,0.0,0.0005,
2007,Saudi,male,C67,C67 Bladder,171.0,1.9,3.5,0.0409,0.543
2007,Saudi,male,C68,C68 Other Urinary organs,1.0,0.0,0.0,0.0002,
2007,Saudi,male,C69,C69 Eye,22.0,0.2,0.3,0.0053,0.667
2007,Saudi,male,C70-C72,"C70-C72 Brain, Nervous system",133.0,1.5,1.9,0.0318,0.789
2007,Saudi,male,C73,C73 Thyroid,115.0,1.3,1.8,0.0275,0.722
2007,Saudi,male,C74,C74 Adrenal gland,15.0,0.2,0.2,0.0036,1.000
2007,Saudi,male,C75,C75 Other Endocrine,3.0,0.0,0.0,0.0007,
2007,Saudi,male,C81,C81 Hodgkin disease,180.0,2.0,2.2,0.0430,0.909
2007,Saudi,male,C82-C85;,C82-C85; C96 Non-Hodgkin lymphoma,418.0,4.7,7.0,0.0999,0.671
2007,Saudi,male,C96,C82-C85; C96 Non-Hodgkin lymphoma,418.0,4.7,7.0,0.0999,0.671
2007,Saudi,male,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2007,Saudi,male,C90,C90 Multiple Myeloma,43.0,0.5,0.9,0.0103,0.556
2007,Saudi,male,C91,C91 Lymphoid Leukemia,194.0,2.2,2.4,0.0464,0.917
2007,Saudi,male,C92-C94,C92-C94 Myeloid Leukemia,113.0,1.3,1.6,0.0270,0.812
2007,Saudi,male,C95,C95 Leukemia unspecified,28.0,0.3,0.4,0.0067,0.750
2007,Saudi,female,C00,C00 Lip,6.0,0.1,0.1,0.0014,1.000
2007,Saudi,female,C01-C02,C01-C02 Tongue,37.0,0.4,0.8,0.0085,0.500
2007,Saudi,female,C03-C06,C03-C06 Mouth,53.0,0.6,1.0,0.0122,0.600
2007,Saudi,female,C07-C08,C07-C08 Salivary glands,18.0,0.2,0.3,0.0042,0.667
2007,Saudi,female,C09,C09 Tonsil,3.0,0.0,0.1,0.0007,
2007,Saudi,female,C10,C10 Other Oropharynx,1.0,0.0,0.0,0.0002,
2007,Saudi,female,C11,C11 Nasopharynx,58.0,0.7,0.9,0.0134,0.778
2007,Saudi,female,C12-C13,C12-C13 Hypopharynx,9.0,0.1,0.2,0.0021,0.500
2007,Saudi,female,C14,C14 Pharynx unspecified,3.0,0.0,0.0,0.0007,
2007,Saudi,female,C15,C15 Oesophagus,57.0,0.7,1.2,0.0132,0.583
2007,Saudi,female,C16,C16 Stomach,126.0,1.5,2.5,0.0291,0.600
2007,Saudi,female,C17,C17 Small intestine,14.0,0.2,0.3,0.0032,0.667
2007,Saudi,female,C18,C18 Colon,252.0,2.9,4.8,0.0581,0.604
2007,Saudi,female,C19-C20,C19-C20 Rectum,169.0,2.0,3.3,0.0390,0.606
2007,Saudi,female,C21,C21 Anus,12.0,0.1,0.2,0.0028,0.500
2007,Saudi,female,C22,C22 Liver,121.0,1.4,2.6,0.0279,0.538
2007,Saudi,female,C23-C24,C23-C24 Gallbladder etc.,86.0,1.0,1.9,0.0198,0.526
2007,Saudi,female,C25,C25 Pancreas,51.0,0.6,1.1,0.0118,0.545
2007,Saudi,female,C30-C31,"C30-C31 Nose, sinuses etc.",14.0,0.2,0.2,0.0032,1.000
2007,Saudi,female,C32,C32 Larynx,10.0,0.1,0.2,0.0023,0.500
2007,Saudi,female,C33-C34,"C33-C34 Trachea, Bronchus, Lung",89.0,1.0,1.9,0.0205,0.526
2007,Saudi,female,C37-C38,C37-C38 Other Thoracic organs,9.0,0.1,0.1,0.0021,1.000
2007,Saudi,female,C40-C41,C40-C41 Bone,33.0,0.4,0.3,0.0076,1.333
2007,Saudi,female,C43,C43 Melanoma of Skin,18.0,0.2,0.4,0.0042,0.500
2007,Saudi,female,C45,C45 Mesothelioma,2.0,0.0,0.0,0.0005,
2007,Saudi,female,C46,C46 Kaposi sarcoma,6.0,0.1,0.1,0.0014,1.000
2007,Saudi,female,C47;,"C47; C49 Connective, Soft tissue",60.0,0.7,0.7,0.0138,1.000
2007,Saudi,female,C49,"C47; C49 Connective, Soft tissue",60.0,0.7,0.7,0.0138,1.000
2007,Saudi,female,C50,C50 Breast,1239.0,14.3,21.6,0.2859,0.662
2007,Saudi,female,C64,C64 Kidney,84.0,1.0,1.4,0.0194,0.714
2007,Saudi,female,C65,C65 Renal Pelvis,1.0,0.0,0.0,0.0002,
2007,Saudi,female,C66,C66 Ureter,0.0,0.0,0.0,,
2007,Saudi,female,C67,C67 Bladder,37.0,0.4,0.8,0.0085,0.500
2007,Saudi,female,C68,C68 Other Urinary organs,0.0,0.0,0.0,,
2007,Saudi,female,C69,C69 Eye,20.0,0.2,0.3,0.0046,0.667
2007,Saudi,female,C70-C72,"C70-C72 Brain, Nervous system",120.0,1.4,1.7,0.0277,0.824
2007,Saudi,female,C73,C73 Thyroid,471.0,5.4,6.6,0.1087,0.818
2007,Saudi,female,C74,C74 Adrenal gland,8.0,0.1,0.1,0.0018,1.000
2007,Saudi,female,C75,C75 Other Endocrine,4.0,0.0,0.1,0.0009,
2007,Saudi,female,C81,C81 Hodgkin disease,129.0,1.5,1.5,0.0298,1.000
2007,Saudi,female,C82-C85;,C82-C85; C96 Non-Hodgkin lymphoma,285.0,3.3,5.1,0.0658,0.647
2007,Saudi,female,C96,C82-C85; C96 Non-Hodgkin lymphoma,285.0,3.3,5.1,0.0658,0.647
2007,Saudi,female,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2007,Saudi,female,C90,C90 Multiple Myeloma,43.0,0.5,0.9,0.0099,0.556
2007,Saudi,female,C91,C91 Lymphoid Leukemia,111.0,1.3,1.4,0.0256,0.929
2007,Saudi,female,C92-C94,C92-C94 Myeloid Leukemia,101.0,1.2,1.5,0.0233,0.800
2007,Saudi,female,C95,C95 Leukemia unspecified,19.0,0.2,0.3,0.0044,0.667
2008,Saudi,male,C00,C00 Lip,9.0,0.1,0.2,0.0025,0.500
2008,Saudi,male,C01-C02,C01-C02 Tongue,30.0,0.3,0.6,0.0084,0.500
2008,Saudi,male,C03-C06,C03-C06 Mouth,39.0,0.4,0.7,0.0109,0.571
2008,Saudi,male,C07-C08,C07-C08 Salivary glands,17.0,0.2,0.3,0.0048,0.667
2008,Saudi,male,C09,C09 Tonsil,2.0,0.0,0.0,0.0006,
2008,Saudi,male,C10,C10 Other Oropharynx,2.0,0.0,0.0,0.0006,
2008,Saudi,male,C11,C11 Nasopharynx,122.0,1.3,2.0,0.0342,0.650
2008,Saudi,male,C12-C13,C12-C13 Hypopharynx,5.0,0.1,0.1,0.0014,1.000
2008,Saudi,male,C14,C14 Pharynx unspecified,3.0,0.0,0.1,0.0008,
2008,Saudi,male,C15,C15 Oesophagus,51.0,0.6,1.0,0.0143,0.600
2008,Saudi,male,C16,C16 Stomach,166.0,1.8,3.2,0.0465,0.562
2008,Saudi,male,C17,C17 Small intestine,31.0,0.3,0.6,0.0087,0.500
2008,Saudi,male,C18,C18 Colon,286.0,3.1,5.3,0.0801,0.585
2008,Saudi,male,C19-C20,C19-C20 Rectum,192.0,2.1,3.7,0.0538,0.568
2008,Saudi,male,C21,C21 Anus,10.0,0.1,0.2,0.0028,0.500
2008,Saudi,male,C22,C22 Liver,303.0,3.3,6.2,0.0848,0.532
2008,Saudi,male,C23-C24,C23-C24 Gallbladder etc.,54.0,0.6,1.0,0.0151,0.600
2008,Saudi,male,C25,C25 Pancreas,100.0,1.1,2.0,0.0280,0.550
2008,Saudi,male,C30-C31,"C30-C31 Nose, sinuses etc.",14.0,0.2,0.2,0.0039,1.000
2008,Saudi,male,C32,C32 Larynx,57.0,0.6,1.2,0.0160,0.500
2008,Saudi,male,C33-C34,"C33-C34 Trachea, Bronchus, Lung",285.0,3.1,5.8,0.0798,0.534
2008,Saudi,male,C37-C38,C37-C38 Other Thoracic organs,11.0,0.1,0.2,0.0031,0.500
2008,Saudi,male,C40-C41,C40-C41 Bone,73.0,0.8,0.8,0.0204,1.000
2008,Saudi,male,C43,C43 Melanoma of Skin,12.0,0.1,0.2,0.0034,0.500
2008,Saudi,male,C45,C45 Mesothelioma,17.0,0.2,0.3,0.0048,0.667
2008,Saudi,male,C46,C46 Kaposi sarcoma,16.0,0.2,0.3,0.0045,0.667
2008,Saudi,male,C47;C49,"C47;C49 Connective, Soft tissue",66.0,0.7,0.9,0.0185,0.778
2008,Saudi,male,C50,C50 Breast,17.0,0.2,0.3,0.0048,0.667
2008,Saudi,male,C64,C64 Kidney,144.0,1.6,2.5,0.0403,0.640
2008,Saudi,male,C65,C65 Renal Pelvis,5.0,0.1,0.1,0.0014,1.000
2008,Saudi,male,C66,C66 Ureter,3.0,0.0,0.1,0.0008,
2008,Saudi,male,C67,C67 Bladder,173.0,1.9,3.6,0.0484,0.528
2008,Saudi,male,C68,C68 Other Urinary organs,1.0,0.0,0.0,0.0003,
2008,Saudi,male,C69,C69 Eye,27.0,0.3,0.3,0.0076,1.000
2008,Saudi,male,C70-C72,"C70-C72 Brain, Nervous system",158.0,1.7,2.1,0.0442,0.810
2008,Saudi,male,C73,C73 Thyroid,131.0,1.4,2.0,0.0367,0.700
2008,Saudi,male,C74,C74 Adrenal gland,14.0,0.2,0.1,0.0039,2.000
2008,Saudi,male,C75,C75 Other Endocrine,9.0,0.1,0.1,0.0025,1.000
2008,Saudi,male,C81,C81 Hodgkin disease,175.0,1.9,1.9,0.0490,1.000
2008,Saudi,male,C82-C85;C96,C82-C85;C96 Non-Hodgkin lymphoma,370.0,4.1,6.0,0.1036,0.683
2008,Saudi,male,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2008,Saudi,male,C90,C90 Multiple Myeloma,37.0,0.4,0.7,0.0104,0.571
2008,Saudi,male,C91,C91 Lymphoid Leukemia,157.0,1.7,2.0,0.0440,0.850
2008,Saudi,male,C92-C94,C92-C94 Myeloid Leukemia,139.0,1.5,1.9,0.0389,0.789
2008,Saudi,male,C95,C95 Leukemia unspecified,39.0,0.4,0.6,0.0109,0.667
2008,Saudi,female,C00,C00 Lip,5.0,0.1,0.1,0.0013,1.000
2008,Saudi,female,C01-C02,C01-C02 Tongue,29.0,0.3,0.6,0.0076,0.500
2008,Saudi,female,C03-C06,C03-C06 Mouth,46.0,0.5,0.9,0.0120,0.556
2008,Saudi,female,C07-C08,C07-C08 Salivary glands,18.0,0.2,0.2,0.0047,1.000
2008,Saudi,female,C09,C09 Tonsil,3.0,0.0,0.1,0.0008,
2008,Saudi,female,C10,C10 Other Oropharynx,0.0,0.0,0.0,,
2008,Saudi,female,C11,C11 Nasopharynx,45.0,0.5,0.7,0.0117,0.714
2008,Saudi,female,C12-C13,C12-C13 Hypopharynx,16.0,0.2,0.3,0.0042,0.667
2008,Saudi,female,C14,C14 Pharynx unspecified,1.0,0.0,0.0,0.0003,
2008,Saudi,female,C15,C15 Oesophagus,54.0,0.6,1.1,0.0141,0.545
2008,Saudi,female,C16,C16 Stomach,100.0,1.1,1.9,0.0261,0.579
2008,Saudi,female,C17,C17 Small intestine,14.0,0.2,0.3,0.0036,0.667
2008,Saudi,female,C18,C18 Colon,274.0,3.1,5.2,0.0714,0.596
2008,Saudi,female,C19-C20,C19-C20 Rectum,152.0,1.7,3.0,0.0396,0.567
2008,Saudi,female,C21,C21 Anus,7.0,0.1,0.1,0.0018,1.000
2008,Saudi,female,C22,C22 Liver,115.0,1.3,2.3,0.0300,0.565
2008,Saudi,female,C23-C24,C23-C24 Gallbladder etc.,77.0,0.9,1.6,0.0201,0.562
2008,Saudi,female,C25,C25 Pancreas,67.0,0.7,1.4,0.0175,0.500
2008,Saudi,female,C30-C31,"C30-C31 Nose, sinuses etc.",6.0,0.1,0.1,0.0016,1.000
2008,Saudi,female,C32,C32 Larynx,5.0,0.1,0.1,0.0013,1.000
2008,Saudi,female,C33-C34,"C33-C34 Trachea, Bronchus, Lung",82.0,0.9,1.7,0.0214,0.529
2008,Saudi,female,C37-C38,C37-C38 Other Thoracic organs,11.0,0.1,0.1,0.0029,1.000
2008,Saudi,female,C40-C41,C40-C41 Bone,47.0,0.5,0.5,0.0123,1.000
2008,Saudi,female,C43,C43 Melanoma of Skin,10.0,0.1,0.2,0.0026,0.500
2008,Saudi,female,C45,C45 Mesothelioma,2.0,0.0,0.0,0.0005,
2008,Saudi,female,C46,C46 Kaposi sarcoma,5.0,0.1,0.1,0.0013,1.000
2008,Saudi,female,C47;C49,"C47;C49 Connective, Soft tissue",54.0,0.6,0.8,0.0141,0.750
2008,Saudi,female,C50,C50 Breast,1152.0,12.9,19.2,0.3003,0.672
2008,Saudi,female,C64,C64 Kidney,93.0,1.0,1.5,0.0242,0.667
