country,year,cancer_type,cases,value
"Saudi Arabia (SCR, Saudi nationals)",2006,Breast,999,999
"Saudi Arabia (SCR, Saudi nationals)",2006,Colorectal,784,784
"Saudi Arabia (SCR, Saudi nationals)",2006,NHL,585,585
"Saudi Arabia (SCR, Saudi nationals)",2006,Thyroid,541,541
"Saudi Arabia (SCR, Saudi nationals)",2006,Leukaemia,508,508
"Saudi Arabia (SCR, Saudi nationals)",2006,Liver,416,416
"Saudi Arabia (SCR, Saudi nationals)",2006,Skin,327,327
"Saudi Arabia (SCR, Saudi nationals)",2006,Lung,312,312
"Saudi Arabia (SCR, Saudi nationals)",2006,Hodgkin lymphoma,293,293
"Saudi Arabia (SCR, Saudi nationals)",2006,Stomach,275,275
"Saudi Arabia (SCR, Saudi nationals)",2007,Breast,1259,1259
"Saudi Arabia (SCR, Saudi nationals)",2007,Colorectal,907,907
"Saudi Arabia (SCR, Saudi nationals)",2007,NHL,703,703
"Saudi Arabia (SCR, Saudi nationals)",2007,Thyroid,586,586
"Saudi Arabia (SCR, Saudi nationals)",2007,Leukaemia,566,566
"Saudi Arabia (SCR, Saudi nationals)",2007,Liver,436,436
"Saudi Arabia (SCR, Saudi nationals)",2007,Lung,412,412
"Saudi Arabia (SCR, Saudi nationals)",2007,Hodgkin lymphoma,309,309
"Saudi Arabia (SCR, Saudi nationals)",2007,Stomach,299,299
"Saudi Arabia (SCR, Saudi nationals)",2007,Skin,283,283
"Saudi Arabia (SCR, Saudi nationals)",2008,Breast,1169,1169
"Saudi Arabia (SCR, Saudi nationals)",2008,Colorectal,904,904
"Saudi Arabia (SCR, Saudi nationals)",2008,NHL,674,674
"Saudi Arabia (SCR, Saudi nationals)",2008,Thyroid,606,606
"Saudi Arabia (SCR, Saudi nationals)",2008,Leukaemia,582,582
"Saudi Arabia (SCR, Saudi nationals)",2008,Liver,418,418
"Saudi Arabia (SCR, Saudi nationals)",2008,Lung,367,367
"Saudi Arabia (SCR, Saudi nationals)",2008,Hodgkin lymphoma,306,306
"Saudi Arabia (SCR, Saudi nationals)",2008,Skin,284,284
"Saudi Arabia (SCR, Saudi nationals)",2008,Prostate,267,267
"Saudi Arabia (SCR, Saudi nationals)",2009,Breast,1331,1331
"Saudi Arabia (SCR, Saudi nationals)",2009,Colorectal,1109,1109
"Saudi Arabia (SCR, Saudi nationals)",2009,NHL,709,709
"Saudi Arabia (SCR, Saudi nationals)",2009,Thyroid,679,679
