population,sex,year,asr_smoking_bundle,asr_other,bundle_share,n_sites
Saudi,female,2006,9.30,57.20,0.140,39
Saudi,female,2007,8.60,65.70,0.116,40
Saudi,female,2008,8.00,55.90,0.125,37
Saudi,female,2009,6.60,64.10,0.093,37
Saudi,female,2010,8.60,66.70,0.114,39
Saudi,female,2011,8.40,76.40,0.099,43
Saudi,female,2012,8.50,73.80,0.103,42
Saudi,female,2015,0.30,3.40,0.081,6
Saudi,female,2016,15.20,74.20,0.170,38
Saudi,female,2018,8.40,80.30,0.095,39
Saudi,female,2019,8.90,81.30,0.099,38
Saudi,female,2020,6.70,69.10,0.088,37
Saudi,female,2021,11.60,128.60,0.083,38
Saudi,female,2022,11.70,116.50,0.091,37
Saudi,female,2023,12.80,131.20,0.089,41
Saudi,male,2006,19.50,48.30,0.288,40
Saudi,male,2007,19.90,55.10,0.265,41
Saudi,male,2008,17.60,43.80,0.287,41
Saudi,male,2009,12.20,48.80,0.200,37
Saudi,male,2010,18.30,46.00,0.285,39
Saudi,male,2011,18.40,53.90,0.254,43
Saudi,male,2012,17.40,62.50,0.218,45
Saudi,male,2015,1.30,6.90,0.159,6
Saudi,male,2016,14.72,45.74,0.244,42
Saudi,male,2018,19.40,52.50,0.270,41
Saudi,male,2019,19.90,53.70,0.270,41
Saudi,male,2020,17.50,47.90,0.268,41
Saudi,male,2021,27.20,78.10,0.258,44
Saudi,male,2022,33.90,81.70,0.293,39
Saudi,male,2023,32.00,83.20,0.278,43
non-Saudi,female,2010,11.50,113.70,0.092,41
non-Saudi,female,2018,7.80,82.80,0.086,42
non-Saudi,female,2019,7.80,74.00,0.095,43
non-Saudi,female,2020,5.90,53.70,0.099,40
non-Saudi,female,2021,7.80,103.50,0.070,42
non-Saudi,female,2022,13.00,103.20,0.112,41
non-Saudi,female,2023,11.50,113.20,0.092,44
non-Saudi,male,2010,15.30,44.00,0.258,41
non-Saudi,male,2018,8.70,26.80,0.245,40
non-Saudi,male,2019,8.70,25.50,0.254,39
non-Saudi,male,2020,6.80,20.20,0.252,38
non-Saudi,male,2021,9.20,30.50,0.232,38
non-Saudi,male,2022,10.20,35.60,0.223,38
non-Saudi,male,2023,11.90,35.20,0.253,39
