country,year,cancer_type,cases
Saudi Arabia (SCR),1994,Lung,80
Saudi Arabia (SCR),1995,Lung,84
Saudi Arabia (SCR),1996,Lung,82
Saudi Arabia (SCR),1997,Lung,80
Saudi Arabia (SCR),1998,Lung,86
Saudi Arabia (SCR),1999,Lung,84
Saudi Arabia (SCR),2000,Lung,94
Saudi Arabia (SCR),2001,Lung,107
Saudi Arabia (SCR),2002,Lung,95
Saudi Arabia (SCR),2003,Lung,96
Saudi Arabia (SCR),2004,Lung,108
Saudi Arabia (SCR),2005,Lung,109
Saudi Arabia (SCR),2006,Lung,109
Saudi Arabia (SCR),2007,Lung,102
Saudi Arabia (SCR),2008,Lung,113
Saudi Arabia (SCR),2009,Lung,122
Saudi Arabia (SCR),2010,Lung,105
Saudi Arabia (SCR),2011,Lung,116
Saudi Arabia (SCR),2012,Lung,198
Saudi Arabia (SCR),2013,Lung,214
Saudi Arabia (SCR),2014,Lung,207
Saudi Arabia (SCR),2015,Lung,243
Saudi Arabia (SCR),2016,Lung,119
Saudi Arabia (SCR),2017,Lung,138
Saudi Arabia (SCR),2018,Lung,139
Saudi Arabia (SCR),2019,Lung,137
Saudi Arabia (SCR),2020,Lung,113
Saudi Arabia (SCR),1994,Breast,114
Saudi Arabia (SCR),1995,Breast,123
Saudi Arabia (SCR),1996,Breast,128
Saudi Arabia (SCR),1997,Breast,114
Saudi Arabia (SCR),1998,Breast,129
Saudi Arabia (SCR),1999,Breast,127
Saudi Arabia (SCR),2000,Breast,132
Saudi Arabia (SCR),2001,Breast,157
Saudi Arabia (SCR),2002,Breast,139
Saudi Arabia (SCR),2003,Breast,152
Saudi Arabia (SCR),2004,Breast,167
Saudi Arabia (SCR),2005,Breast,152
Saudi Arabia (SCR),2006,Breast,161
Saudi Arabia (SCR),2007,Breast,168
Saudi Arabia (SCR),2008,Breast,171
Saudi Arabia (SCR),2009,Breast,156
Saudi Arabia (SCR),2010,Breast,178
Saudi Arabia (SCR),2011,Breast,200
Saudi Arabia (SCR),2012,Breast,161
Saudi Arabia (SCR),2013,Breast,201
Saudi Arabia (SCR),2014,Breast,193
Saudi Arabia (SCR),2015,Breast,185
Saudi Arabia (SCR),2016,Breast,231
Saudi Arabia (SCR),2017,Breast,215
Saudi Arabia (SCR),2018,Breast,186
Saudi Arabia (SCR),2019,Breast,211
Saudi Arabia (SCR),2020,Breast,223
Saudi Arabia (SCR),1994,Colorectal,98
Saudi Arabia (SCR),1995,Colorectal,108
Saudi Arabia (SCR),1996,Colorectal,105
Saudi Arabia (SCR),1997,Colorectal,114
Saudi Arabia (SCR),1998,Colorectal,124
Saudi Arabia (SCR),1999,Colorectal,108
Saudi Arabia (SCR),2000,Colorectal,119
Saudi Arabia (SCR),2001,Colorectal,116
Saudi Arabia (SCR),2002,Colorectal,125
Saudi Arabia (SCR),2003,Colorectal,114
Saudi Arabia (SCR),2004,Colorectal,123
Saudi Arabia (SCR),2005,Colorectal,130
Saudi Arabia (SCR),2006,Colorectal,145
Saudi Arabia (SCR),2007,Colorectal,151
Saudi Arabia (SCR),2008,Colorectal,126
Saudi Arabia (SCR),2009,Colorectal,135
Saudi Arabia (SCR),2010,Colorectal,155
Saudi Arabia (SCR),2011,Colorectal,126
Saudi Arabia (SCR),2012,Colorectal,148
Saudi Arabia (SCR),2013,Colorectal,155
Saudi Arabia (SCR),2014,Colorectal,176
Saudi Arabia (SCR),2015,Colorectal,171
Saudi Arabia (SCR),2016,Colorectal,161
Saudi Arabia (SCR),2017,Colorectal,164
Saudi Arabia (SCR),2018,Colorectal,168
Saudi Arabia (SCR),2019,Colorectal,196
Saudi Arabia (SCR),2020,Colorectal,171
Saudi Arabia (SCR),1994,Leukaemia,39
Saudi Arabia (SCR),1995,Leukaemia,42
Saudi Arabia (SCR),1996,Leukaemia,41
Saudi Arabia (SCR),1997,Leukaemia,42
Saudi Arabia (SCR),1998,Leukaemia,40
Saudi Arabia (SCR),1999,Leukaemia,45
Saudi Arabia (SCR),2000,Leukaemia,45
Saudi Arabia (SCR),2001,Leukaemia,52
Saudi Arabia (SCR),2002,Leukaemia,52
Saudi Arabia (SCR),2003,Leukaemia,50
Saudi Arabia (SCR),2004,Leukaemia,54
Saudi Arabia (SCR),2005,Leukaemia,51
Saudi Arabia (SCR),2006,Leukaemia,58
Saudi Arabia (SCR),2007,Leukaemia,55
Saudi Arabia (SCR),2008,Leukaemia,59
Saudi Arabia (SCR),2009,Leukaemia,52
Saudi Arabia (SCR),2010,Leukaemia,60
Saudi Arabia (SCR),2011,Leukaemia,52
Saudi Arabia (SCR),2012,Leukaemia,51
Saudi Arabia (SCR),2013,Leukaemia,61
Saudi Arabia (SCR),2014,Leukaemia,59
Saudi Arabia (SCR),2015,Leukaemia,66
Saudi Arabia (SCR),2016,Leukaemia,78
Saudi Arabia (SCR),2017,Leukaemia,63
Saudi Arabia (SCR),2018,Leukaemia,65
Saudi Arabia (SCR),2019,Leukaemia,71
Saudi Arabia (SCR),2020,Leukaemia,74
Saudi Arabia (SCR),1994,Brain/CNS,24
Saudi Arabia (SCR),1995,Brain/CNS,25
Saudi Arabia (SCR),1996,Brain/CNS,27
Saudi Arabia (SCR),1997,Brain/CNS,28
Saudi Arabia (SCR),1998,Brain/CNS,25
Saudi Arabia (SCR),1999,Brain/CNS,28
Saudi Arabia (SCR),2000,Brain/CNS,29
Saudi Arabia (SCR),2001,Brain/CNS,27
Saudi Arabia (SCR),2002,Brain/CNS,31
Saudi Arabia (SCR),2003,Brain/CNS,29
Saudi Arabia (SCR),2004,Brain/CNS,35
Saudi Arabia (SCR),2005,Brain/CNS,33
Saudi Arabia (SCR),2006,Brain/CNS,34
Saudi Arabia (SCR),2007,Brain/CNS,33
Saudi Arabia (SCR),2008,Brain/CNS,35
Saudi Arabia (SCR),2009,Brain/CNS,30
Saudi Arabia (SCR),2010,Brain/CNS,33
Saudi Arabia (SCR),2011,Brain/CNS,38
Saudi Arabia (SCR),2012,Brain/CNS,31
Saudi Arabia (SCR),2013,Brain/CNS,41
Saudi Arabia (SCR),2014,Brain/CNS,34
Saudi Arabia (SCR),2015,Brain/CNS,43
Saudi Arabia (SCR),2016,Brain/CNS,38
Saudi Arabia (SCR),2017,Brain/CNS,44
Saudi Arabia (SCR),2018,Brain/CNS,43
Saudi Arabia (SCR),2019,Brain/CNS,38
Saudi Arabia (SCR),2020,Brain/CNS,48
Saudi Arabia (SCR),1994,Other,167
Saudi Arabia (SCR),1995,Other,153
Saudi Arabia (SCR),1996,Other,155
Saudi Arabia (SCR),1997,Other,161
Saudi Arabia (SCR),1998,Other,154
Saudi Arabia (SCR),1999,Other,187
Saudi Arabia (SCR),2000,Other,169
Saudi Arabia (SCR),2001,Other,180
Saudi Arabia (SCR),2002,Other,174
Saudi Arabia (SCR),2003,Other,180
Saudi Arabia (SCR),2004,Other,175
Saudi Arabia (SCR),2005,Other,219
Saudi Arabia (SCR),2006,Other,201
Saudi Arabia (SCR),2007,Other,224
Saudi Arabia (SCR),2008,Other,213
Saudi Arabia (SCR),2009,Other,205
Saudi Arabia (SCR),2010,Other,216
Saudi Arabia (SCR),2011,Other,216
Saudi Arabia (SCR),2012,Other,231
Saudi Arabia (SCR),2013,Other,228
Saudi Arabia (SCR),2014,Other,234
Saudi Arabia (SCR),2015,Other,217
Saudi Arabia (SCR),2016,Other,232
Saudi Arabia (SCR),2017,Other,287
Saudi Arabia (SCR),2018,Other,244
Saudi Arabia (SCR),2019,Other,240
Saudi Arabia (SCR),2020,Other,274
USA-Louisiana (SEER),1994,Lung,195
USA-Louisiana (SEER),1995,Lung,160
USA-Louisiana (SEER),1996,Lung,183
USA-Louisiana (SEER),1997,Lung,182
USA-Louisiana (SEER),1998,Lung,169
USA-Louisiana (SEER),1999,Lung,214
USA-Louisiana (SEER),2000,Lung,207
USA-Louisiana (SEER),2001,Lung,214
USA-Louisiana (SEER),2002,Lung,205
USA-Louisiana (SEER),2003,Lung,231
USA-Louisiana (SEER),2004,Lung,218
USA-Louisiana (SEER),2005,Lung,231
USA-Louisiana (SEER),2006,Lung,218
USA-Louisiana (SEER),2007,Lung,220
USA-Louisiana (SEER),2008,Lung,276
USA-Louisiana (SEER),2009,Lung,244
USA-Louisiana (SEER),2010,Lung,266
USA-Louisiana (SEER),2011,Lung,265
USA-Louisiana (SEER),2012,Lung,261
USA-Louisiana (SEER),2013,Lung,265
USA-Louisiana (SEER),2014,Lung,295
USA-Louisiana (SEER),2015,Lung,279
USA-Louisiana (SEER),2016,Lung,288
USA-Louisiana (SEER),2017,Lung,297
USA-Louisiana (SEER),2018,Lung,331
USA-Louisiana (SEER),2019,Lung,324
USA-Louisiana (SEER),2020,Lung,322
USA-Louisiana (SEER),1994,Breast,252
USA-Louisiana (SEER),1995,Breast,241
USA-Louisiana (SEER),1996,Breast,301
USA-Louisiana (SEER),1997,Breast,310
USA-Louisiana (SEER),1998,Breast,292
USA-Louisiana (SEER),1999,Breast,316
USA-Louisiana (SEER),2000,Breast,330
USA-Louisiana (SEER),2001,Breast,340
USA-Louisiana (SEER),2002,Breast,351
USA-Louisiana (SEER),2003,Breast,323
USA-Louisiana (SEER),2004,Breast,384
USA-Louisiana (SEER),2005,Breast,316
USA-Louisiana (SEER),2006,Breast,383
USA-Louisiana (SEER),2007,Breast,381
USA-Louisiana (SEER),2008,Breast,401
USA-Louisiana (SEER),2009,Breast,440
USA-Louisiana (SEER),2010,Breast,437
USA-Louisiana (SEER),2011,Breast,362
USA-Louisiana (SEER),2012,Breast,351
USA-Louisiana (SEER),2013,Breast,441
USA-Louisiana (SEER),2014,Breast,388
USA-Louisiana (SEER),2015,Breast,429
USA-Louisiana (SEER),2016,Breast,467
USA-Louisiana (SEER),2017,Breast,387
USA-Louisiana (SEER),2018,Breast,377
USA-Louisiana (SEER),2019,Breast,471
USA-Louisiana (SEER),2020,Breast,471
USA-Louisiana (SEER),1994,Colorectal,215
