dataset_id,source_cluster,linked_cite_keys,data_type,granularity,custodian,access_route,access_locator,locator_confidence,in_package_currently,notes
lss_rerf,Atomic-bomb survivors (Life Span Study),grant2017;cullings2017;furukawa2010;egawa2012;ohtaki2025,Individual cohort records + DS02R1 dosimetry; dose-response tables,microdata + dosimetry,"Radiation Effects Research Foundation (RERF), Hiroshima/Nagasaki",APPLICATION,rerf.or.jp (Open Data / formal data-request & research agreement),medium,published ERR/Gy results only,Some aggregated dose-response data are downloadable; individual-level data require a RERF research agreement.
semipalatinsk,Semipalatinsk historical cohort,bauer2005;grosche2011,Individual fallout-dose + mortality records,microdata,Kazakh Research Institute for Radiation Medicine & Ecology / German BfS (consortium),RESTRICTED,by collaboration with the cohort custodians (no public portal),medium,published ERR/Sv results only,Not publicly distributed; access by research collaboration.
camp_lejeune_atsdr,Camp Lejeune contaminated water cohort,atsdr2024;ruckart2015;nrc2009,Cohort mortality/incidence study data; water-distribution modeling outputs,microdata + modeled,ATSDR / CDC,APPLICATION,atsdr.cdc.gov (Camp Lejeune studies); data request / FOIA to ATSDR,medium,published RR/HR + presumptive list,Study reports and water-modeling reports are public; analytic datasets via ATSDR request/FOIA.
gulfwar_us,U.S. Gulf War / Khamisiyah veterans,bullman2005;barth2009;gao2004;haley2013,Veteran mortality records; DoD plume-exposure models,microdata + modeled,U.S. Dept. of Veterans Affairs / DoD; GAO (plume review),RESTRICTED,VA Epidemiology; GAO report GAO-04-159 (gao.gov) is OPEN,low,published mortality ratios,Veteran microdata restricted; plume-model review document is public.
gulfwar_uk,U.K. Gulf War cohort,macfarlane2003,Deployed vs non-deployed cancer-incidence cohort,microdata,London School of Hygiene & Tropical Medicine / King's College (MRC-funded),RESTRICTED,via the study team (no public portal),low,published IRR 0.99,Cohort data held by the original investigators.
agent_orange,Agent Orange / dioxin (Ranch Hand; NIOSH; Seveso),akhtar2004;steenland1999;iomvao;pesatori2009,Air Force Health Study (Ranch Hand) cohort; NIOSH dioxin-worker cohort; Seveso cohort,microdata,NAS Medical Follow-up Agency (AFHS repository); NIOSH; Italian Seveso registry,APPLICATION,nationalacademies.org Medical Follow-up Agency (AFHS data); NIOSH; Seveso custodians,low,published RR (biomarker vs proxy),AFHS data deposited with NAS/MFUA on application; others restricted.
burn_pits,Post-9/11 burn-pit exposure (PACT Act),pact2022;nasem2020,VA Airborne Hazards & Open Burn Pit (AH-OBP) Registry; presumptive policy,registry + document,U.S. Dept. of Veterans Affairs,APPLICATION,VA AH-OBP Registry (research data request); PACT Act = DOCUMENT,medium,presumptive list (contextual),Registry data via VA application; the Act itself and NASEM report are documents.
bhopal,Bhopal methyl-isocyanate release,sambhavna;mishra2009;senthilkumar2012;dhara2002,Community health-survey records; cytogenetic study data,survey microdata + lab,Sambhavna Trust Clinic; ICMR,RESTRICTED,Sambhavna Trust (sambhavna.org); ICMR,low,survey ratios (hypothesis-generating),Grey-literature survey data; access via the holding organizations.
fallujah,Fallujah conflict-associated exposure,busby2010;alaani2011,Household cancer/birth survey; hair-metal assays,survey microdata + lab,Original authors (Busby et al.) / journal,OPEN,IJERPH 2010 article + its supplementary material (open access),medium,RR 12.6 pediatric (F/B),Summary survey data are in the open-access papers; raw forms with authors.
kuwait,Kuwaiti civilians,cange2013;alawadhi2023,Kuwait national cancer-registry incidence; thesis survey,registry aggregate + thesis,Kuwait Cancer Control Center / Kuwait Cancer Registry; Univ. of Washington (thesis),ETHICS,"UW ResearchWorks (Cange 2013 thesis, OPEN); KCCC registry via application",medium,ASIR inflection ~1999,Thesis is openly available; registry microdata via KCCC ethics approval.
