fips,county,state,site,incidence,smoking_pct,ind_pollution,total_pollution
22039,Evangeline Parish,LA,Lung,89.0,22.1,0.159342806659077,30.0
22035,East Carroll Parish,LA,Lung,83.8,28.4,0.137714343550302,30.0
22047,Iberville Parish,LA,Lung,82.6,18.9,17.2139477581426,50.0
22117,Washington Parish,LA,Lung,80.1,21.7,1.44532852401374,30.0
22013,Bienville Parish,LA,Lung,80.0,23.8,0.425356657060926,30.0
22083,Richland Parish,LA,Lung,78.0,21.4,0.430008059282044,30.0
22063,Livingston Parish,LA,Lung,77.9,17.1,7.07707186745196,40.0
22041,Franklin Parish,LA,Lung,77.6,22.7,0.145626395759798,30.0
22021,Caldwell Parish,LA,Lung,76.6,23.0,0.621968432399717,30.0
22109,Terrebonne Parish,LA,Lung,75.8,18.8,4.03722374327858,30.0
22081,Red River Parish,LA,Lung,75.4,23.2,0.822070271394505,40.0
22127,Winn Parish,LA,Lung,75.3,20.6,0.458957785101531,30.0
22123,West Carroll Parish,LA,Lung,75.3,20.0,0.0602098507756329,30.0
22049,Jackson Parish,LA,Lung,75.3,20.6,0.598072563982706,30.0
22115,Vernon Parish,LA,Lung,74.7,18.3,0.142708897285012,30.0
22037,East Feliciana Parish,LA,Lung,73.9,18.3,1.88681095438875,30.0
22059,La Salle Parish,LA,Lung,73.6,18.6,0.2100135729951,30.0
22111,Union Parish,LA,Lung,73.1,20.8,0.877330862290333,30.0
22001,Acadia Parish,LA,Lung,73.0,21.9,0.145604805507644,30.0
22007,Assumption Parish,LA,Lung,71.9,20.5,13.5645695064427,40.0
22119,Webster Parish,LA,Lung,71.9,22.8,0.266027818936032,30.0
22023,Cameron Parish,LA,Lung,71.8,17.0,2.3642802762933,30.0
22121,West Baton Rouge Parish,LA,Lung,71.7,16.2,9.36092490648375,40.0
22113,Vermilion Parish,LA,Lung,71.2,20.2,0.192648438824137,30.0
22085,Sabine Parish,LA,Lung,70.2,21.1,0.528396679920122,30.0
22101,St. Mary Parish,LA,Lung,70.2,21.3,0.205682946613166,30.0
22067,Morehouse Parish,LA,Lung,69.8,23.0,0.522008074130818,30.0
22097,St. Landry Parish,LA,Lung,68.5,22.0,0.196173133928184,30.0
22003,Allen Parish,LA,Lung,68.2,21.7,0.8924219890317,30.0
22099,St. Martin Parish,LA,Lung,68.1,19.7,0.870094315364087,30.0
22125,West Feliciana Parish,LA,Lung,68.0,17.0,1.41218234375624,30.0
22045,Iberia Parish,LA,Lung,67.6,20.4,0.215159176193352,30.0
22031,De Soto Parish,LA,Lung,67.2,20.7,0.588238015637665,40.0
22009,Avoyelles Parish,LA,Lung,67.0,23.2,0.0606807381694395,30.0
22011,Beauregard Parish,LA,Lung,67.0,18.5,1.81225161660769,30.0
22087,St. Bernard Parish,LA,Lung,65.6,20.2,2.70100151013758,30.0
22015,Bossier Parish,LA,Lung,65.5,16.1,0.264499184251892,40.0
22075,Plaquemines Parish,LA,Lung,65.3,16.8,1.47919924282729,30.0
22027,Claiborne Parish,LA,Lung,63.3,25.7,0.493763087069545,30.0
22043,Grant Parish,LA,Lung,62.6,20.1,0.161946269134945,30.0
22105,Tangipahoa Parish,LA,Lung,62.2,18.6,1.46898556043369,30.0
22017,Caddo Parish,LA,Lung,62.1,18.2,0.469307022764117,40.0
22053,Jefferson Davis Parish,LA,Lung,60.4,19.9,0.867683349888059,30.0
22057,LaFourche Parish,LA,Lung,60.4,19.1,4.82624188568357,30.0
22019,Calcasieu Parish,LA,Lung,59.8,17.1,10.2805367714675,40.0
22005,Ascension Parish,LA,Lung,59.8,15.4,21.1019069811953,50.0
22093,St. James Parish,LA,Lung,59.8,16.5,16.2815116716036,50.0
22069,Natchitoches Parish,LA,Lung,59.2,17.7,0.532883498598552,30.0
22103,St. Tammany Parish,LA,Lung,58.2,14.5,0.75978227574592,30.0
22079,Rapides Parish,LA,Lung,56.9,18.7,0.141447205523437,30.0
22055,Lafayette Parish,LA,Lung,56.6,16.0,0.170223898354843,30.0
22073,Ouachita Parish,LA,Lung,55.9,17.9,1.12488859900423,30.0
22029,Concordia Parish,LA,Lung,55.2,22.8,0.0318091318703632,30.0
22051,Jefferson Parish,LA,Lung,54.9,14.9,6.0963691424517,30.0
22025,Catahoula Parish,LA,Lung,54.4,22.7,0.0395546666812221,30.0
22065,Madison Parish,LA,Lung,53.6,25.5,0.22261000482693,30.0
22077,Pointe Coupee Parish,LA,Lung,53.2,18.5,3.55220337528779,30.0
22091,St. Helena Parish,LA,Lung,53.1,21.8,0.426947982469704,30.0
22107,Tensas Parish,LA,Lung,52.6,22.8,0.0994231880345464,30.0
22095,St. John the Baptist Parish,LA,Lung,51.9,16.7,49.2465082898628,80.0
22071,Orleans Parish,LA,Lung,50.4,15.0,3.57019076973125,30.0
22033,East Baton Rouge Parish,LA,Lung,50.2,14.0,8.15698480678867,40.0
22061,Lincoln Parish,LA,Lung,49.6,15.9,0.605620746647551,30.0
22089,St. Charles Parish,LA,Lung,49.0,15.1,20.5329641437732,50.0
22009,Avoyelles Parish,LA,Bladder,26.8,23.2,0.0606807381694395,30.0
22089,St. Charles Parish,LA,Bladder,25.6,15.1,20.5329641437732,50.0
22059,La Salle Parish,LA,Bladder,24.3,18.6,0.2100135729951,30.0
22109,Terrebonne Parish,LA,Bladder,24.3,18.8,4.03722374327858,30.0
22047,Iberville Parish,LA,Bladder,24.1,18.9,17.2139477581426,50.0
22007,Assumption Parish,LA,Bladder,23.6,20.5,13.5645695064427,40.0
22087,St. Bernard Parish,LA,Bladder,22.8,20.2,2.70100151013758,30.0
22039,Evangeline Parish,LA,Bladder,22.4,22.1,0.159342806659077,30.0
22115,Vernon Parish,LA,Bladder,22.4,18.3,0.142708897285012,30.0
22027,Claiborne Parish,LA,Bladder,22.2,25.7,0.493763087069545,30.0
22001,Acadia Parish,LA,Bladder,22.0,21.9,0.145604805507644,30.0
22077,Pointe Coupee Parish,LA,Bladder,21.4,18.5,3.55220337528779,30.0
22125,West Feliciana Parish,LA,Bladder,21.1,17.0,1.41218234375624,30.0
22113,Vermilion Parish,LA,Bladder,21.0,20.2,0.192648438824137,30.0
22075,Plaquemines Parish,LA,Bladder,20.7,16.8,1.47919924282729,30.0
22101,St. Mary Parish,LA,Bladder,20.7,21.3,0.205682946613166,30.0
22015,Bossier Parish,LA,Bladder,20.6,16.1,0.264499184251892,40.0
22103,St. Tammany Parish,LA,Bladder,20.4,14.5,0.75978227574592,30.0
22111,Union Parish,LA,Bladder,20.3,20.8,0.877330862290333,30.0
22011,Beauregard Parish,LA,Bladder,20.1,18.5,1.81225161660769,30.0
22119,Webster Parish,LA,Bladder,20.1,22.8,0.266027818936032,30.0
22085,Sabine Parish,LA,Bladder,20.0,21.1,0.528396679920122,30.0
22041,Franklin Parish,LA,Bladder,19.6,22.7,0.145626395759798,30.0
22051,Jefferson Parish,LA,Bladder,19.6,14.9,6.0963691424517,30.0
22105,Tangipahoa Parish,LA,Bladder,19.4,18.6,1.46898556043369,30.0
22003,Allen Parish,LA,Bladder,19.4,21.7,0.8924219890317,30.0
22057,LaFourche Parish,LA,Bladder,19.1,19.1,4.82624188568357,30.0
22099,St. Martin Parish,LA,Bladder,18.9,19.7,0.870094315364087,30.0
22031,De Soto Parish,LA,Bladder,18.5,20.7,0.588238015637665,40.0
22017,Caddo Parish,LA,Bladder,17.9,18.2,0.469307022764117,40.0
22079,Rapides Parish,LA,Bladder,17.8,18.7,0.141447205523437,30.0
22045,Iberia Parish,LA,Bladder,17.8,20.4,0.215159176193352,30.0
22005,Ascension Parish,LA,Bladder,17.7,15.4,21.1019069811953,50.0
22063,Livingston Parish,LA,Bladder,17.6,17.1,7.07707186745196,40.0
22053,Jefferson Davis Parish,LA,Bladder,17.3,19.9,0.867683349888059,30.0
22127,Winn Parish,LA,Bladder,17.3,20.6,0.458957785101531,30.0
22029,Concordia Parish,LA,Bladder,17.2,22.8,0.0318091318703632,30.0
22049,Jackson Parish,LA,Bladder,17.1,20.6,0.598072563982706,30.0
22019,Calcasieu Parish,LA,Bladder,16.9,17.1,10.2805367714675,40.0
22043,Grant Parish,LA,Bladder,16.8,20.1,0.161946269134945,30.0
22093,St. James Parish,LA,Bladder,16.8,16.5,16.2815116716036,50.0
22013,Bienville Parish,LA,Bladder,16.8,23.8,0.425356657060926,30.0
22117,Washington Parish,LA,Bladder,16.7,21.7,1.44532852401374,30.0
22073,Ouachita Parish,LA,Bladder,16.6,17.9,1.12488859900423,30.0
22097,St. Landry Parish,LA,Bladder,16.6,22.0,0.196173133928184,30.0
22033,East Baton Rouge Parish,LA,Bladder,16.4,14.0,8.15698480678867,40.0
22055,Lafayette Parish,LA,Bladder,16.2,16.0,0.170223898354843,30.0
22037,East Feliciana Parish,LA,Bladder,16.1,18.3,1.88681095438875,30.0
22069,Natchitoches Parish,LA,Bladder,16.0,17.7,0.532883498598552,30.0
22095,St. John the Baptist Parish,LA,Bladder,14.5,16.7,49.2465082898628,80.0
22121,West Baton Rouge Parish,LA,Bladder,13.8,16.2,9.36092490648375,40.0
22083,Richland Parish,LA,Bladder,13.0,21.4,0.430008059282044,30.0
22071,Orleans Parish,LA,Bladder,12.8,15.0,3.57019076973125,30.0
22061,Lincoln Parish,LA,Bladder,11.0,15.9,0.605620746647551,30.0
22067,Morehouse Parish,LA,Bladder,10.0,23.0,0.522008074130818,30.0
22023,Cameron Parish,LA,Kidney,54.9,17.0,2.3642802762933,30.0
22039,Evangeline Parish,LA,Kidney,36.0,22.1,0.159342806659077,30.0
22007,Assumption Parish,LA,Kidney,35.7,20.5,13.5645695064427,40.0
