cite_key,citation_as_in_manuscript,doi,pmid_or_pmcid,url,status,note
grant2017,"Grant EJ, Brenner A, Sugiyama H, et al. Solid cancer incidence among the Life Span Study of atomic bomb survivors: 1958--2009. Radiat Res. 2017;187(5):513--537.",10.1667/RR14492.1,28319463,,UNVERIFIED,
brenner2025,"Brenner AV, et al. Radiation effects on the incidence of solid cancers in the Life Span Study: 1958--2009. 2025.",,,,NEEDS_LOOKUP,2025 LSS residual-radiation analysis; confirm full citation/venue.
furukawa2010,"Furukawa K, Preston DL, Lauer S, et al. Radiation and smoking effects on lung cancer incidence among atomic bomb survivors. Radiat Res. 2010;174(1):72--82.",10.1667/RR1925.1,20681800,,UNVERIFIED,
egawa2012,"Egawa H, Furukawa K, Preston DL, et al. Radiation and smoking effects on lung cancer incidence by histological types. Radiat Res. 2012;178(3):191--201.",10.1667/RR2819.1,22817266,,UNVERIFIED,
ohtaki2025,"Ohtaki M, Otani K, Hoshi M, Yasuda H. Effects of non-initial radiation exposure on solid cancer mortality among Hiroshima A-bomb survivors. Front Public Health. 2025;13:1651887.",,,,NEEDS_LOOKUP,Front Public Health 2025;13:1651887; DOI likely 10.3389/fpubh.2025.1651887 - confirm.
cullings2017,"Cullings HM, Grant EJ, Egbert SD, et al. DS02R1: improvements to atomic bomb survivors' input data. Health Phys. 2017;112(1):56--97.",10.1097/HP.0000000000000598,27877161,,UNVERIFIED,
bauer2005,"Bauer S, Gusev BI, Pivina LM, Apsalikov KN, Grosche B. Radiation exposure due to local fallout from Soviet atmospheric nuclear weapons testing in Kazakhstan: solid cancer mortality in the Semipalatinsk historical cohort, 1960--1999. Radiat Res. 2005;164(4):409--419.",10.1667/RR3423.1,16187743,,UNVERIFIED,
grosche2011,"Grosche B, et al. Mortality from cardiovascular diseases in the Semipalatinsk historical cohort, 1960--1999. Radiat Res. 2011.",,,,NEEDS_LOOKUP,"Grosche et al., Semipalatinsk CVD mortality, Radiat Res 2011; confirm vol/pages/DOI."
beir1999,National Research Council. Health Effects of Exposure to Radon: BEIR VI. National Academy Press; 1999.,,,,NO_DOI,"BEIR VI, National Academy Press 1999; NAP DOI may be 10.17226/5499 - confirm."
puma2023,PUMA Collaboration. Radon and lung cancer in the Pooled Uranium Miners Analysis. 2023.,,,,NEEDS_LOOKUP,PUMA pooled uranium miners analysis; confirm exact paper/DOI.
whittemore1983,"Whittemore AS, McMillan A. Lung cancer mortality among U.S. uranium miners: a reappraisal. J Natl Cancer Inst. 1983;71(3):489--499.",,6577223,,UNVERIFIED,Old article; likely no DOI.
atsdr2024,Agency for Toxic Substances and Disease Registry. Cancer incidence among Marines and Navy personnel and civilian workers exposed to industrial solvents in drinking water at USMC Base Camp Lejeune: a cohort study. ATSDR; 2024.,,,,NO_DOI,"ATSDR 2024 Camp Lejeune cohort study; agency report, use URL."
ruckart2015,"Ruckart PZ, Bove FJ, Maslia M. Evaluation of contaminated drinking water and male breast cancer at Camp Lejeune. 2015.",,,,NEEDS_LOOKUP,Ruckart/Bove/Maslia male breast cancer Camp Lejeune; confirm journal/DOI.
nrc2009,National Research Council. Contaminated Water Supplies at Camp Lejeune: Assessing Potential Health Effects. National Academies Press; 2009.,,,,NO_DOI,NRC 2009 Camp Lejeune; NAP DOI likely 10.17226/12618 - confirm.
va2017,"U.S. Department of Veterans Affairs. Diseases associated with exposure to contaminants in the water supply at Camp Lejeune (presumptive service connection for eight conditions). Final rule, effective 14 March 2017.",,,https://publichealth.va.gov/PUBLICHEALTH/docs/exposures/CLFactsheet.pdf,VERIFIED,"VA final rule, presumptive service connection; policy, no DOI."
clja2022,"Camp Lejeune Justice Act of 2022 (within the Honoring our PACT Act, PL 117-168) --- civil-claim pathway, distinct from VA presumptive service connection.",,,,NO_DOI,"Camp Lejeune Justice Act 2022 (PL 117-168); statute, no DOI."
bullman2005,"Bullman TA, Mahan CM, Kang HK, Page WF. Mortality in U.S. Army Gulf War veterans exposed to 1991 Khamisiyah chemical munitions destruction. Am J Public Health. 2005;95(8):1382--1388.",10.2105/AJPH.2004.045799,16043674,,UNVERIFIED,
barth2009,"Barth SK, Kang HK, Bullman TA, Wallin MT. Neurological mortality among U.S. veterans of the Persian Gulf War. Am J Ind Med. 2009;52(9):663--670.",10.1002/ajim.20718,19670264,,UNVERIFIED,
macfarlane2003,"Macfarlane GJ, Biggs AM, Maconochie N, et al. Incidence of cancer among UK Gulf War veterans: cohort study. BMJ. 2003;327(7428):1373--1376.",10.1136/bmj.327.7428.1373,14670879,,UNVERIFIED,
poirier1998,"Poirier MC, Weston A, Schoket B, et al. Biomonitoring of United States Army soldiers serving in Kuwait in 1991. Cancer Epidemiol Biomarkers Prev. 1998;7(6):545--551.",,9641500,,UNVERIFIED,Likely no DOI (1998 CEBP).
amin1994,"Amin MS, Husain T. Kuwaiti oil fires: air-quality monitoring. Atmos Environ. 1994;28(13):2261--2276.",10.1016/1352-2310(94)90364-6,,,UNVERIFIED,"Atmos Environ 1994; DOI pattern best-effort, confirm."
iom2005,"Institute of Medicine. Gulf War and Health, Vol.\ 3: Fuels, Combustion Products, and Propellants. National Academies Press; 2005.",,,,NO_DOI,IOM Gulf War and Health Vol.3 2005; NAP DOI likely 10.17226/11180 - confirm.
